distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,520.0949,0.0346,0.0062,0.3355,182.3094,21.2022
1.2500,0.0547,1006.6815,0.0175,0.0062,0.2692,171.6915,24.9694
2.5000,0.0547,201194.4772,0.0001,0.0054,0.0460,131.0495,59.5597
3.7500,0.0547,169068.7001,0.0001,0.0046,0.0488,131.5502,58.6107
5.0000,0.0547,116477.3419,0.0002,0.0052,0.0552,132.7253,56.4931
6.2500,0.0547,101897.9166,0.0002,0.0059,0.0578,133.1839,55.7060
7.5000,0.0547,100542.1386,0.0002,0.0058,0.0580,133.2310,55.6264
8.7500,0.0547,91538.9046,0.0002,0.0052,0.0599,133.5667,55.0651
10.0000,0.0547,74299.0180,0.0003,0.0048,0.0642,134.3520,53.7932
11.2500,0.0547,62608.7498,0.0003,0.0050,0.0679,135.0384,52.7268
12.5000,0.0547,52596.5732,0.0004,0.0053,0.0720,135.7784,51.6215
13.7500,0.0547,53041.2935,0.0004,0.0052,0.0718,135.7417,51.6753
15.0000,0.0547,50629.5734,0.0004,0.0050,0.0729,135.9461,51.3771
16.2500,0.0547,41221.6705,0.0005,0.0049,0.0781,136.8882,50.0445
17.5000,0.0547,44366.8478,0.0005,0.0047,0.0762,136.5438,50.5239
18.7500,0.0547,47700.9337,0.0005,0.0045,0.0744,136.2126,50.9934
20.0000,0.0547,50042.0455,0.0005,0.0045,0.0732,135.9979,51.3021
21.2500,0.0547,53569.1331,0.0004,0.0048,0.0716,135.6986,51.7386
22.5000,0.0547,58483.0402,0.0004,0.0053,0.0695,135.3228,52.2967
23.7500,0.0547,65050.7062,0.0003,0.0056,0.0671,134.8816,52.9669
25.0000,0.0547,66175.3869,0.0003,0.0052,0.0667,134.8120,53.0741
26.2500,0.0547,57939.6061,0.0004,0.0047,0.0697,135.3622,52.2376
27.5000,0.0547,42015.0938,0.0005,0.0050,0.0776,136.7981,50.1691
28.7500,0.0547,35948.2132,0.0006,0.0054,0.0817,137.5522,49.1441
30.0000,0.0547,38954.1723,0.0005,0.0054,0.0796,137.1590,49.6735
31.2500,0.0547,38526.6035,0.0006,0.0051,0.0799,137.2124,49.6010
32.5000,0.0547,40013.1876,0.0005,0.0053,0.0789,137.0300,49.8496
33.7500,0.0547,42446.0720,0.0005,0.0054,0.0773,136.7501,50.2357
35.0000,0.0547,46627.8547,0.0005,0.0051,0.0750,136.3157,50.8463
36.2500,0.0547,58590.7306,0.0004,0.0050,0.0695,135.3150,52.3084
37.5000,0.0547,51239.4993,0.0004,0.0049,0.0726,135.8932,51.4540
38.7500,0.0547,52001.0676,0.0004,0.0049,0.0723,135.8283,51.5486
40.0000,0.0547,66108.9899,0.0003,0.0048,0.0667,134.8160,53.0679
41.2500,0.0547,67082.3003,0.0003,0.0051,0.0664,134.7570,53.1592
42.5000,0.0547,69651.8306,0.0003,0.0055,0.0656,134.6064,53.3933
43.7500,0.0547,81660.2893,0.0002,0.0056,0.0622,133.9897,54.3730
45.0000,0.0547,108813.3313,0.0002,0.0060,0.0565,132.9562,56.0943
46.2500,0.0547,157727.6793,0.0001,0.0060,0.0499,131.7582,58.2247
47.5000,0.0547,155052.3080,0.0001,0.0065,0.0502,131.8102,58.1290
48.7500,0.0547,148175.3076,0.0001,0.0068,0.0510,131.9496,57.8740
50.0000,0.0547,178268.2954,0.0001,0.0060,0.0479,131.3946,58.9024
51.2500,0.0547,246137.9534,0.0001,0.0060,0.0430,130.5045,60.6271
52.5000,0.0547,267610.7159,0.0001,0.0075,0.0419,130.2889,61.0595
53.7500,0.0547,145264.7888,0.0001,0.0093,0.0513,132.0112,57.7620
55.0000,0.0547,154587.5951,0.0001,0.0073,0.0503,131.8194,58.1122
56.2500,0.0547,237185.8261,0.0001,0.0048,0.0436,130.6019,60.4336
57.5000,0.0547,216381.1045,0.0001,0.0044,0.0449,130.8485,59.9490
58.7500,0.0547,214713.5301,0.0001,0.0047,0.0451,130.8697,59.9079
60.0000,0.0547,241662.4511,0.0001,0.0051,0.0433,130.5526,60.5314
61.2500,0.0560,178908.2037,0.0001,0.0057,0.0479,133.6066,58.1421
62.5000,0.0572,116551.7171,0.0002,0.0059,0.0552,137.0775,55.0797
63.7500,0.0598,129327.3250,0.0002,0.0056,0.0533,140.9200,54.3266
65.0000,0.0610,125128.9743,0.0002,0.0056,0.0539,143.0409,53.5305
66.2500,0.0610,120711.2630,0.0002,0.0051,0.0546,143.1506,53.3439
67.5000,0.0610,130144.4572,0.0002,0.0047,0.0532,142.9224,53.7334
68.7500,0.0598,132880.7142,0.0002,0.0048,0.0529,140.8377,54.4689
70.0000,0.0598,135654.1278,0.0002,0.0052,0.0525,140.7756,54.5769
71.2500,0.0598,138942.3231,0.0002,0.0051,0.0521,140.7040,54.7018
72.5000,0.0598,159701.8958,0.0002,0.0048,0.0497,140.2992,55.4188
73.7500,0.0598,153796.3913,0.0002,0.0049,0.0504,140.4069,55.2263
75.0000,0.0598,148499.7947,0.0002,0.0047,0.0509,140.5083,55.0462
76.2500,0.0610,153230.3429,0.0002,0.0045,0.0504,142.4463,54.5636
77.5000,0.0610,140467.5014,0.0002,0.0046,0.0519,142.6966,54.1240
78.7500,0.0623,156278.0022,0.0002,0.0048,0.0501,144.3783,54.0410
80.0000,0.0636,224696.6630,0.0001,0.0053,0.0444,145.3903,55.1369
81.2500,0.0649,218922.7688,0.0001,0.0061,0.0448,147.3755,54.4118
82.5000,0.0649,272346.3624,0.0001,0.0067,0.0416,146.8681,55.3656
83.7500,0.0649,318216.8635,0.0001,0.0080,0.0395,146.5283,56.0226
