distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0547,70003.8009,0.0002,0.0063,0.0655,134.5863,53.4246
1.2500,0.0534,110873.9888,0.0002,0.0062,0.0562,130.6409,56.9536
2.5000,0.0534,326024.5665,0.0001,0.0062,0.0392,127.5038,62.9512
3.7500,0.0534,93827.4622,0.0002,0.0057,0.0594,131.2354,55.9389
5.0000,0.0534,33050.7475,0.0004,0.0073,0.0841,135.8037,49.1633
6.2500,0.0534,38238.6787,0.0003,0.0086,0.0801,135.0659,50.1491
7.5000,0.0534,111937.6896,0.0002,0.0062,0.0560,130.6079,57.0109
8.7500,0.0534,117483.8460,0.0002,0.0055,0.0551,130.4424,57.3004
10.0000,0.0534,135964.3036,0.0001,0.0056,0.0525,129.9580,58.1636
11.2500,0.0534,146997.6051,0.0001,0.0060,0.0511,129.7089,58.6175
12.5000,0.0534,160936.7651,0.0001,0.0048,0.0496,129.4276,59.1381
13.7500,0.0534,160530.9954,0.0002,0.0043,0.0496,129.4353,59.1237
15.0000,0.0534,179423.3455,0.0001,0.0044,0.0478,129.1010,59.7538
16.2500,0.0534,207275.3230,0.0001,0.0044,0.0456,128.6855,60.5552
17.5000,0.0534,199917.1823,0.0001,0.0047,0.0461,128.7877,60.3561
18.7500,0.0534,164875.5733,0.0001,0.0060,0.0492,129.3539,59.2759
20.0000,0.0534,188103.8368,0.0001,0.0066,0.0471,128.9627,60.0182
21.2500,0.0534,255197.1692,0.0001,0.0069,0.0425,128.1206,61.6782
22.5000,0.0521,274857.7203,0.0000,0.0078,0.0415,125.5802,62.9847
23.7500,0.0521,198617.5146,0.0001,0.0078,0.0462,126.4720,61.1890
25.0000,0.0521,190251.8016,0.0001,0.0066,0.0469,126.5975,60.9442
26.2500,0.0521,207126.5047,0.0001,0.0059,0.0456,126.3513,61.4262
27.5000,0.0521,146467.0644,0.0001,0.0066,0.0512,127.4004,59.4212
28.7500,0.0521,134156.5963,0.0001,0.0063,0.0527,127.6860,58.8970
30.0000,0.0521,144108.3410,0.0001,0.0054,0.0515,127.4526,59.3247
31.2500,0.0521,142465.3137,0.0002,0.0048,0.0517,127.4896,59.2565
32.5000,0.0521,130845.4432,0.0002,0.0049,0.0531,127.7688,58.7466
33.7500,0.0521,130076.0045,0.0001,0.0056,0.0532,127.7885,58.7110
35.0000,0.0521,163365.3024,0.0001,0.0059,0.0494,127.0567,60.0641
36.2500,0.0521,193457.4572,0.0001,0.0042,0.0466,126.5485,61.0394
37.5000,0.0521,186111.1918,0.0001,0.0040,0.0473,126.6624,60.8183
38.7500,0.0521,146974.2928,0.0002,0.0044,0.0511,127.3893,59.4417
40.0000,0.0521,138817.1047,0.0002,0.0045,0.0521,127.5739,59.1016
41.2500,0.0521,153678.3352,0.0001,0.0051,0.0504,127.2476,59.7054
42.5000,0.0521,150426.9779,0.0001,0.0054,0.0507,127.3153,59.5792
43.7500,0.0521,135553.1082,0.0001,0.0056,0.0525,127.6519,58.9591
45.0000,0.0521,128303.0146,0.0001,0.0057,0.0535,127.8344,58.6281
46.2500,0.0521,109739.0006,0.0002,0.0061,0.0563,128.3719,57.6735
47.5000,0.0521,90665.1384,0.0002,0.0065,0.0601,129.0677,56.4812
48.7500,0.0521,95745.9545,0.0002,0.0066,0.0590,128.8644,56.8246
50.0000,0.0521,101223.4919,0.0002,0.0066,0.0579,128.6608,57.1726
51.2500,0.0521,99342.9166,0.0002,0.0060,0.0583,128.7290,57.0555
52.5000,0.0521,77736.0613,0.0003,0.0051,0.0632,129.6615,55.5004
53.7500,0.0521,86751.6098,0.0002,0.0050,0.0609,129.2349,56.2017
55.0000,0.0521,116147.1047,0.0002,0.0055,0.0553,128.1734,58.0224
56.2500,0.0509,104242.4612,0.0002,0.0057,0.0573,126.1960,58.1662
57.5000,0.0509,131354.9846,0.0001,0.0061,0.0531,125.3844,59.6172
58.7500,0.0509,166855.5175,0.0001,0.0067,0.0490,124.6079,61.0719
60.0000,0.0521,180079.6419,0.0001,0.0070,0.0478,126.7604,60.6291
61.2500,0.0521,190303.1518,0.0001,0.0067,0.0469,126.5967,60.9457
62.5000,0.0521,155577.5082,0.0001,0.0068,0.0502,127.2089,59.7778
63.7500,0.0509,144612.2709,0.0001,0.0070,0.0514,125.0649,60.2077
65.0000,0.0509,134784.8071,0.0001,0.0068,0.0526,125.2978,59.7762
66.2500,0.0509,124491.5570,0.0001,0.0068,0.0540,125.5673,59.2842
67.5000,0.0509,119762.3093,0.0001,0.0073,0.0547,125.7013,59.0425
68.7500,0.0509,112114.8246,0.0001,0.0070,0.0559,125.9337,58.6278
70.0000,0.0509,95879.5594,0.0002,0.0067,0.0589,126.5053,57.6308
71.2500,0.0509,110781.3267,0.0001,0.0065,0.0562,125.9763,58.5522
72.5000,0.0509,117538.2748,0.0001,0.0059,0.0551,125.7668,58.9250
73.7500,0.0509,104746.2026,0.0002,0.0064,0.0572,126.1784,58.1969
75.0000,0.0509,119174.3611,0.0001,0.0077,0.0548,125.7185,59.0117
76.2500,0.0509,139470.7769,0.0001,0.0071,0.0520,125.1840,59.9863
77.5000,0.0509,142515.0887,0.0001,0.0068,0.0516,125.1128,60.1185
78.7500,0.0509,136570.4390,0.0001,0.0060,0.0524,125.2538,59.8572
80.0000,0.0509,141754.9197,0.0001,0.0060,0.0517,125.1303,60.0858
81.2500,0.0509,136657.8455,0.0001,0.0068,0.0524,125.2517,59.8612
82.5000,0.0509,138321.4806,0.0001,0.0069,0.0522,125.2114,59.9355
83.7500,0.0509,182959.4607,0.0001,0.0067,0.0475,124.3250,61.6190
85.0000,0.0509,233453.9542,0.0001,0.0064,0.0438,123.6171,63.0298
86.2500,0.0509,219070.5737,0.0001,0.0069,0.0448,123.7963,62.6669
87.5000,0.0509,160459.9657,0.0001,0.0085,0.0496,124.7306,60.8375
88.7500,0.0509,153954.1537,0.0001,0.0091,0.0503,124.8623,60.5880
90.0000,0.0509,202605.1810,0.0001,0.0083,0.0459,124.0217,62.2159
91.2500,0.0509,218257.1487,0.0001,0.0080,0.0448,123.8069,62.6455
92.5000,0.0509,220753.6899,0.0001,0.0072,0.0446,123.7746,62.7108
93.7500,0.0509,206138.4152,0.0001,0.0067,0.0457,123.9714,62.3161
95.0000,0.0509,176462.9581,0.0001,0.0064,0.0481,124.4350,61.4052
96.2500,0.0509,170402.6949,0.0001,0.0062,0.0487,124.5426,61.1974
97.5000,0.0509,183756.3039,0.0001,0.0062,0.0475,124.3119,61.6446
98.7500,0.0509,154937.1933,0.0001,0.0064,0.0502,124.8419,60.6264
100.0000,0.0509,35538.8294,0.0002,0.0122,0.0821,130.9174,50.9075
101.2500,0.0509,34120.7621,0.0002,0.0120,0.0832,131.1315,50.6193
102.5000,0.0509,104174.7528,0.0002,0.0065,0.0573,126.1984,58.1620
103.7500,0.0509,95955.0187,0.0002,0.0060,0.0589,126.5024,57.6359
105.0000,0.0509,99887.1326,0.0002,0.0061,0.0581,126.3528,57.8936
106.2500,0.0509,130438.6418,0.0001,0.0064,0.0532,125.4081,59.5739
107.5000,0.0509,160990.3828,0.0001,0.0066,0.0496,124.7202,60.8574
108.7500,0.0509,156597.5996,0.0001,0.0066,0.0501,124.8079,60.6908
110.0000,0.0509,119493.4370,0.0001,0.0074,0.0548,125.7091,59.0284
111.2500,0.0509,121801.3218,0.0001,0.0073,0.0544,125.6427,59.1480
112.5000,0.0509,117149.5556,0.0001,0.0071,0.0551,125.7784,58.9042
