distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.0534,27311.1478,0.0006,0.0062,0.0896,136.8245,47.8586
1.2500,0.0534,50194.2376,0.0003,0.0062,0.0731,133.7817,51.9579
2.5000,0.0534,311491.3775,0.0001,0.0062,0.0398,127.6148,62.7183
3.7500,0.0534,215186.8350,0.0001,0.0069,0.0450,128.5808,60.7602
5.0000,0.0534,159082.2789,0.0001,0.0070,0.0498,129.4631,59.0719
6.2500,0.0534,105540.5881,0.0002,0.0066,0.0571,130.8131,56.6562
7.5000,0.0534,57824.2698,0.0003,0.0061,0.0698,133.1584,52.8814
8.7500,0.0534,57179.2933,0.0004,0.0053,0.0700,133.2067,52.8087
10.0000,0.0534,85359.1670,0.0003,0.0046,0.0613,131.5872,55.3546
11.2500,0.0534,100803.1014,0.0002,0.0047,0.0580,130.9760,56.3774
12.5000,0.0534,113157.0930,0.0002,0.0048,0.0558,130.5706,57.0760
13.7500,0.0534,119661.1355,0.0002,0.0046,0.0547,130.3802,57.4099
15.0000,0.0534,129938.2041,0.0002,0.0047,0.0533,130.1058,57.8976
16.2500,0.0534,136334.1653,0.0002,0.0044,0.0524,129.9493,58.1795
17.5000,0.0534,101487.0450,0.0002,0.0047,0.0578,130.9518,56.4186
18.7500,0.0534,86259.6122,0.0002,0.0051,0.0611,131.5476,55.4197
20.0000,0.0534,93373.8460,0.0002,0.0053,0.0595,131.2531,55.9091
21.2500,0.0534,77209.4519,0.0002,0.0063,0.0634,131.9727,54.7275
22.5000,0.0534,67920.9335,0.0002,0.0067,0.0661,132.4843,53.9160
23.7500,0.0534,92884.3128,0.0002,0.0067,0.0596,131.2724,55.8768
25.0000,0.0521,131608.8274,0.0001,0.0073,0.0530,127.7495,58.7816
26.2500,0.0534,155505.0728,0.0001,0.0069,0.0502,129.5332,58.9416
27.5000,0.0534,174541.3110,0.0001,0.0068,0.0483,129.1827,59.5985
