,height_min (cm),height_max (cm),height_ave (cm),SSA (m2/kg),Equiv. Diam (mm)
0,3.0,5.0,4.0,12.014841875681569,0.5445827180304985
1,4.0,6.0,5.0,9.642900763358778,0.678538067116462
2,6.0,8.0,7.0,10.108822246455833,0.6472638538737124
3,8.0,10.0,9.0,10.728462377317337,0.6098800569221388
4,10.0,12.0,11.0,10.472726281352235,0.6247728690299048
5,11.0,13.0,12.0,10.902868047982551,0.600124225714723
6,12.0,14.0,13.0,11.02472191930207,0.5934911822047604
7,13.0,15.0,14.0,10.957731733914938,0.5971194955534502
8,14.0,16.0,15.0,10.882497273718649,0.6012475887466493
9,15.0,17.0,16.0,11.048527808069792,0.5922124068499235
10,16.5,18.5,17.5,10.66042529989095,0.6137724397761367
11,18.0,20.0,19.0,11.202617230098145,0.5840666614749631
12,19.0,21.0,20.0,10.526335877862595,0.6215909620674116
13,21.0,23.0,22.0,10.62382769901854,0.6158868000061588
14,23.0,25.0,24.0,11.632595419847327,0.5624776766672073
15,25.0,27.0,26.0,11.036085059978188,0.5928801028449353
16,26.0,28.0,27.0,11.205223555070884,0.5839308080921132
17,27.0,29.0,28.0,11.175103598691384,0.585504661105023
18,28.0,30.0,29.0,11.084580152671755,0.5902862494785804
19,29.0,31.0,30.0,10.848113413304253,0.6031532853759455
20,29.5,31.5,30.5,10.875812431842965,0.6016171468908427
21,31.0,33.0,32.0,10.619956379498364,0.6161113107768137
22,33.0,35.0,34.0,11.458800436205017,0.5710087440472338
23,35.0,37.0,36.0,11.039563794983641,0.5926932772777204
24,36.0,38.0,37.0,11.511897491821156,0.5683750441674774
25,37.0,39.0,38.0,10.93905125408942,0.5981391889830737
26,38.0,40.0,39.0,11.355365321701198,0.576210017027006
27,39.0,41.0,40.0,11.998418756815703,0.5453281284793071
28,40.0,42.0,41.0,12.751723009814611,0.5131130311040568
29,41.0,43.0,42.0,12.798080697928025,0.5112544138297728
30,42.0,44.0,43.0,13.024143947655396,0.50238044601336
31,43.0,45.0,44.0,13.42998909487459,0.4871988502107135
32,43.0,45.0,44.0,14.65142857142857,0.44658274880613547
33,45.0,47.0,46.0,13.173958560523445,0.4966673620009735
34,46.0,48.0,47.0,13.219749182115594,0.49494700354959487
35,47.0,49.0,48.0,12.985038167938932,0.5038934164645494
36,48.0,50.0,49.0,12.96029443838604,0.5048554472640622
37,48.0,50.0,49.0,13.051788440567066,0.5013163732434083
38,50.0,52.0,51.0,13.294929116684841,0.49214818581875003
39,52.0,54.0,53.0,13.437131952017447,0.48693986698425973
40,54.0,56.0,55.0,14.013478735005451,0.4669129892080845
41,56.0,58.0,57.0,14.301101417666302,0.45752247007231145
42,57.5,59.5,58.5,16.498418756815703,0.3965880210588239
43,59.0,61.0,60.0,18.76917121046892,0.3486075741967646
44,60.0,62.0,61.0,18.460087241003272,0.35444443788065855
45,60.0,62.0,61.0,12.75,0.5131823721855154
46,61.0,63.0,62.0,17.546772082878952,0.37289338543068257
47,62.0,64.0,63.0,17.223424209378408,0.37989398425212806
48,63.0,65.0,64.0,17.289029443838604,0.37845243231378245
49,65.0,68.0,66.5,26.994667393675027,0.24238399199163288
50,68.0,71.0,69.5,21.888298800436207,0.29893027800017635
51,71.0,75.0,73.0,19.964994547437296,0.32772737452138145
52,75.0,77.0,76.0,19.518386041439477,0.3352262441922053
53,78.0,80.0,79.0,20.451581243184297,0.31993004196415714
54,78.0,80.0,79.0,19.892748091603053,0.32891761436054306
