,height_min (cm),height_max (cm),height_ave (cm),SSA (m2/kg),Equiv. Diam (mm)
0,2.0,4.0,3.0,14.269345692475461,0.45854066376818026
1,3.0,5.0,4.0,12.893740458015268,0.5074613737317695
2,5.5,7.5,6.5,9.879869138495092,0.6622633512291608
3,7.0,9.0,8.0,10.03350054525627,0.6521228773400343
4,9.0,11.0,10.0,10.106324972737186,0.6474237928243863
5,11.0,13.0,12.0,9.844580152671757,0.6646373074213401
6,13.0,15.0,14.0,9.779607415485279,0.6690529555414311
7,15.0,17.0,16.0,10.187971646673937,0.6422353214441303
8,17.0,19.0,18.0,9.839443838604144,0.6649842564977274
9,18.0,20.0,19.0,10.170577971646674,0.6433336692964717
10,20.0,22.0,21.0,10.441701199563793,0.6266292360136356
11,22.0,24.0,23.0,10.961886586695746,0.5968931710447123
12,24.0,26.0,25.0,10.704983642311888,0.6112176780451628
13,26.0,28.0,27.0,10.384438386041438,0.6300846518729791
14,28.0,30.0,29.0,10.351668484187568,0.63207928802589
15,30.0,32.0,31.0,10.664929116684842,0.6135132426833433
16,32.0,34.0,33.0,10.471439476553979,0.6248496455540387
17,34.0,36.0,35.0,10.013358778625953,0.6534346156987666
18,35.0,37.0,36.0,9.725845147219193,0.6727513286838741
19,37.0,39.0,38.0,10.114056706652127,0.646928866936436
20,39.0,41.0,40.0,10.316630316248636,0.634226006437394
21,40.5,42.5,41.5,10.057033805888768,0.6505969226765558
22,42.5,44.5,43.5,9.945812431842965,0.6578723749521673
23,43.0,45.0,44.0,10.149651035986913,0.644660119068724
24,45.0,47.0,46.0,11.246477644492911,0.5817888455563938
25,47.0,49.0,48.0,10.444667393675026,0.6264512787958773
26,49.0,51.0,50.0,10.93029443838604,0.598618388758745
27,51.0,53.0,52.0,11.532737186477643,0.5673479885622646
28,53.0,55.0,54.0,12.776292257360959,0.5121262971732335
29,55.0,57.0,56.0,12.730261723009814,0.5139780617030663
30,57.0,59.0,58.0,13.178375136314067,0.49650090983791734
31,59.0,61.0,60.0,12.752562704471101,0.5130792450894041
32,61.0,63.0,62.0,12.801952017448201,0.5110998101264205
33,62.0,64.0,63.0,13.236346782988003,0.49432636909867006
34,64.0,66.0,65.0,13.05649945474373,0.5011354894966177
35,66.0,68.0,67.0,12.849302071973826,0.5092163923546252
36,67.5,69.5,68.5,14.958516902944384,0.4374147041326941
37,69.0,71.0,70.0,15.350338058887676,0.42624958618269343
38,71.0,73.0,72.0,15.699127589967285,0.4167795444599579
39,73.0,75.0,74.0,17.169203925845146,0.38109368807227567
40,75.0,77.0,76.0,17.552617230098143,0.3727692092633149
41,77.0,79.0,78.0,17.331363140676117,0.37752802201743424
42,77.0,79.0,78.0,17.001712104689204,0.3848480203097129
43,79.0,81.0,80.0,17.014372955288987,0.38456164459069175
44,81.0,83.0,82.0,16.373140676117774,0.3996224899544897
45,83.0,85.0,84.0,18.088102508178842,0.3617336446654235
46,85.0,87.0,86.0,17.534405670665212,0.37315637428828197
47,87.0,89.0,88.0,16.890316248636857,0.38738618916584133
48,87.5,89.5,88.5,16.728386041439478,0.3911360742845632
49,89.0,91.0,90.0,17.523336968375133,0.37339208035397575
50,89.0,91.0,90.0,17.57692475463468,0.372253698340493
51,91.0,93.0,92.0,17.47381679389313,0.3744502602117267
52,91.0,93.0,92.0,17.02636859323882,0.3842907082349656
