distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
0.0000,0.1118,73258.0735,0.0002,0.0148,0.0645,202.1098,37.7307
1.2500,0.1105,138870.1582,0.0001,0.0117,0.0521,199.7622,39.9593
2.5000,0.1105,746324.5144,0.0001,0.0058,0.0297,197.5949,44.1871
3.7500,0.1105,745496.3148,0.0001,0.0057,0.0298,197.5959,44.1848
5.0000,0.1105,740378.5965,0.0001,0.0059,0.0298,197.6026,44.1705
6.2500,0.1105,698268.9139,0.0001,0.0062,0.0304,197.6596,44.0484
7.5000,0.1105,637052.9392,0.0001,0.0060,0.0314,197.7511,43.8535
8.7500,0.1105,715807.0251,0.0001,0.0060,0.0302,197.6353,44.1003
10.0000,0.1105,596506.5632,0.0001,0.0060,0.0320,197.8185,43.7112
11.2500,0.1105,527399.2793,0.0001,0.0062,0.0334,197.9487,43.4387
12.5000,0.1105,578995.8138,0.0001,0.0062,0.0324,197.8495,43.6460
13.7500,0.1105,696457.5799,0.0001,0.0059,0.0304,197.6621,44.0429
15.0000,0.1105,756903.2375,0.0000,0.0062,0.0296,197.5814,44.2161
16.2500,0.1105,798287.3607,0.0000,0.0070,0.0291,197.5309,44.3251
17.5000,0.1105,960544.6396,0.0000,0.0076,0.0273,197.3622,44.6929
18.7500,0.1105,853794.1915,0.0000,0.0077,0.0284,197.4684,44.4606
20.0000,0.1105,851960.6472,0.0000,0.0067,0.0285,197.4704,44.4563
21.2500,0.1105,761829.7580,0.0000,0.0061,0.0295,197.5752,44.2295
22.5000,0.1105,660177.6059,0.0001,0.0067,0.0310,197.7152,43.9297
23.7500,0.1105,721277.1801,0.0000,0.0073,0.0301,197.6279,44.1162
25.0000,0.1105,847030.2729,0.0000,0.0068,0.0285,197.4757,44.4447
26.2500,0.1105,939247.0557,0.0000,0.0067,0.0275,197.3821,44.6492
27.5000,0.1105,1000682.7579,0.0000,0.0063,0.0270,197.3263,44.7720
28.7500,0.1105,1061744.0711,0.0000,0.0059,0.0264,197.2752,44.8851
30.0000,0.1105,970355.8090,0.0000,0.0062,0.0272,197.3533,44.7126
31.2500,0.1105,853649.9532,0.0000,0.0061,0.0284,197.4686,44.4603
32.5000,0.1105,752320.8284,0.0001,0.0058,0.0297,197.5872,44.2036
33.7500,0.1105,588913.6856,0.0001,0.0057,0.0322,197.8318,43.6832
35.0000,0.1105,488584.6033,0.0001,0.0057,0.0343,198.0322,43.2656
36.2500,0.1105,458542.6571,0.0001,0.0057,0.0350,198.1032,43.1195
37.5000,0.1105,377482.2382,0.0001,0.0059,0.0373,198.3305,42.6583
38.7500,0.1105,356232.0802,0.0001,0.0062,0.0381,198.4010,42.5170
40.0000,0.1118,196551.6772,0.0001,0.0082,0.0464,200.3839,40.7209
41.2500,0.1185,20610.9737,0.0006,0.0182,0.0984,210.6455,32.3474
42.5000,0.1347,2265.9458,0.0036,0.0346,0.2054,230.0223,22.4474
43.7500,0.1765,3243.9814,0.0039,0.0273,0.1822,250.0420,21.8476
45.0000,0.2034,7533.8312,0.0019,0.0277,0.1376,260.4385,23.3930
46.2500,0.2182,19227.0769,0.0006,0.0386,0.1007,265.9375,25.2920
47.5000,0.2155,12960.8579,0.0008,0.0439,0.1149,265.0421,24.3981
48.7500,0.2088,26535.3456,0.0004,0.0402,0.0904,261.7470,26.5216
50.0000,0.2047,32482.7192,0.0003,0.0374,0.0846,259.8276,27.2157
51.2500,0.2007,63670.9947,0.0002,0.0299,0.0676,257.5711,28.9772
52.5000,0.2020,23842.0108,0.0003,0.0529,0.0937,258.8244,26.5919
53.7500,0.2007,26666.8260,0.0003,0.0464,0.0903,258.1305,26.9435
55.0000,0.1994,110031.0888,0.0001,0.0251,0.0563,256.6500,30.1872
56.2500,0.1980,73256.6278,0.0002,0.0259,0.0645,256.2160,29.4416
57.5000,0.1967,41275.1096,0.0003,0.0332,0.0781,255.9376,28.2310
